;game_name;review_text;hours_played;rating;found_helpful;product_count;review_date;review_length
246;ELDEN RING; Great game;479.2;1.0;2.0;74.0;11 May, 2022;11
247;ELDEN RING; L + maidenless + no runes + touch grace + ungrafted + invaded + parried + scarlet rot + one-shot + you leveled dex;54.9;1.0;2.0;177.0;11 May, 2022;115
248;ELDEN RING; Open world Soulslike with lots of quality of life improvements such as the mount Paced well beautiful world and made someone who never finished Bloodborne run through this 3 timesso far  Could use some performance patches and fingers crossed for more content Fantastic game overall though;211.2;1.0;2.0;871.0;12 May, 2022;302
250;ELDEN RING; elden ring good;113.9;1.0;2.0;32.0;10 May, 2022;16
251;ELDEN RING; Its pretty good;478.4;1.0;2.0;117.0;10 May, 2022;16
252;ELDEN RING;I absolutely love it FromSoft have outdone themselves;100.2;1.0;2.0;708.0;09 May, 2022;55
253;ELDEN RING;Most  Ive ever gotten life included;151.7;1.0;2.0;67.0;09 May, 2022;46
255;ELDEN RING;What can I say Its a pain But the good kind;73.6;1.0;2.0;38.0;08 May, 2022;46
256;ELDEN RING;it s ok;165.2;1.0;2.0;237.0;07 May, 2022;7
257;ELDEN RING;I summon Black Knife Tiche just so she can step on me;186.7;1.0;2.0;216.0;07 May, 2022;53
259;ELDEN RING;20 hours in and I feel like Ive barely got started This game takes all the best QoL updates from the Souls series and culminates them into this game on top of the other incredible new mechanics If you ever feel like youve hit a wall theres plenty to explore and discover so you can come back stronger  Nice to see a game actually worth its full price tag for a change;55.3;1.0;2.0;249.0;07 May, 2022;376
260;ELDEN RING; Maybe use your giant pile of money to turn on Dark Souls servers;455.0;0.0;6.0;46.0;13 May, 2022;66
261;ELDEN RING; If this does not win game of the year I am killing someone;75.3;1.0;2.0;272.0;12 May, 2022;59
262;ELDEN RING; pretty good game ngl;8.1;1.0;2.0;67.0;10 May, 2022;21
264;ELDEN RING; Ive lost 3 jobs because of this game;189.3;1.0;2.0;39.0;12 May, 2022;38
265;ELDEN RING;maidenless no more;135.1;1.0;2.0;170.0;07 May, 2022;18
266;ELDEN RING;this one has a jump button in it;120.1;1.0;2.0;127.0;09 May, 2022;32
267;ELDEN RING;I have lost my reality;41.1;1.0;2.0;304.0;08 May, 2022;23
268;ELDEN RING; Game of The Year Havent obsessed over a game so much in so long;41.6;1.0;2.0;395.0;12 May, 2022;66
269;ELDEN RING; Product received for free  Trust me when you fire this game up your little  nuts are gonna start quaking buddy your little nuts are gonna be quaking Youre gonna shoot  youre gonna shoot  youre gonna shoot hot  And thats a promise thats a promise folks thats a  promise right there Youre gonna shoot  hot jizz all over your computer all over your mechanical keyboard and your razor mouse  I swear to god that you will bust a nut the first time you play;17.7;1.0;3.0;198.0;12 May, 2022;502
270;ELDEN RING;Product received for free  only the longest shlongest game;27.0;1.0;2.0;157.0;08 May, 2022;58
271;ELDEN RING;I think Ive beat off to Elden Ring p0rn more then Ive played the game;14.0;1.0;2.0;108.0;08 May, 2022;71
273;ELDEN RING;One of the best games Ive ever played if not the best The combat is the best of any Souls game giving you TONS of options on how to play Crazy spells summons weapon arts power stancing jumping all the talismans you can mix around shields arent totally dumb That by itself is great but the world is the biggest and best of any game So much to explore so many secrets so beautiful EVERYWHERE  Justget this game If you like Dark Souls get this game If you havent liked Dark Souls in the pastgive it a shot and be patient with it You wont win every fight but once you accept and learn how to get better you can find out how crazy crazy good this game is;166.2;1.0;3.0;114.0;08 May, 2022;683
274;ELDEN RING;First of all I suppose its not a masterpiece game like others saying just because of the open world and some in game mechanics reuse Second Im not a huge fan of soulsbut I have Bloodborne platinum Babadzaki made me suffer until I found a jumping farm option But Guys Im observing the AAA game segment and its not that clear Nowadays a number a  games are coming and what to conceal we will gain more in future In this case we have here no more just a game but the only industry hope Cyberpunk died in the childhood Ubisoft making mobile games EA making football casino so who can save gamers I can say only one thing we need to buy games like Elden Ring To show investors we are interested in such mediaproduct We dont give a hell about mobile gaming we need epic tough singleplayer games  Slap like if you agree;201.3;1.0;2.0;459.0;09 May, 2022;854
275;ELDEN RING;one of the best games ive played;31.6;1.0;1.0;90.0;08 May, 2022;33
276;ELDEN RING; First From Software game and probably my last;10.8;0.0;2.0;361.0;11 May, 2022;47
277;ELDEN RING;I cant believe relaxing is one of the tags  I returned this on steam and got it on another platform but if you dont mind the stress of a games difficulty I recommend;0.6;1.0;4.0;49.0;07 May, 2022;169
278;ELDEN RING;as a decade-long fromsoft fan i was honestly really worried about this games change in structure from their previous titles ive got some minor gripes and might write a proper review at some point but i overall gotta say it actually exceeds anything i couldve expected genuinely incredible game if you started fromsoft games with this go check out the souls games theyre great too;242.2;1.0;2.0;320.0;07 May, 2022;389
279;ELDEN RING;Most accessible fromsoft game to date Phenomenal characters amazing boss fights balanced classes insane amount of content I would have dropped 100 dollars on this game I wish I could forget this game so I could experience it for the first time again Every new area you go into is big and makes you question how close to the end you actually are because its SO VAST  Still very difficult but if you wanted to play a from soft game pick this one;160.3;1.0;1.0;216.0;08 May, 2022;456
281;ELDEN RING; Cookies are yummy  Do yourself a favor and play Elden Ring The game is fun;71.3;1.0;1.0;91.0;13 May, 2022;78
282;ELDEN RING; praise the Elden RIng;130.9;1.0;1.0;784.0;14 May, 2022;23
283;ELDEN RING; i put 180+ hours in this game beat the game at level 196 and my save files got corrupted;188.1;0.0;1.0;16.0;10 May, 2022;91
284;ELDEN RING; I have a Wife and a Dog what more could I ever need;129.0;1.0;1.0;282.0;13 May, 2022;54
285;ELDEN RING; Elden;26.2;1.0;1.0;85.0;12 May, 2022;7
286;ELDEN RING; Like the Graphics;47.1;1.0;1.0;53.0;12 May, 2022;22
287;ELDEN RING;Dark Souls 2 Better;76.1;0.0;4.0;106.0;09 May, 2022;19
288;ELDEN RING; Product received for free  Got this game from a kind stranger spent 20 mins making a character got killed respawned touched grass got told by a guy I got no biches Got killed again by some demon on a horse already have 3 hours played and only died so far 10/10 I love it;6.5;1.0;2.0;157.0;12 May, 2022;272
291;ELDEN RING; is not something you want to have in your work environment;67.6;1.0;1.0;275.0;10 May, 2022;59
292;ELDEN RING;Its not even that hard;80.9;1.0;1.0;89.0;09 May, 2022;24
293;ELDEN RING;Amazing game;114.3;1.0;1.0;16.0;08 May, 2022;12
294;ELDEN RING;not 1 but multiple poison swamps Miyazaki has done it again 10 out of 10;106.1;1.0;2.0;8.0;09 May, 2022;75
295;ELDEN RING; This Game is Sick you must play dude;118.7;1.0;2.0;35.0;10 May, 2022;38
296;ELDEN RING; Game of the Year;145.9;1.0;2.0;80.0;10 May, 2022;17
297;ELDEN RING; kinda like dark souls;18.9;1.0;2.0;77.0;11 May, 2022;22
299;ELDEN RING;Helped me forget about my dying wife;49.0;1.0;2.0;41.0;09 May, 2022;36
300;ELDEN RING; An ACTUAL video game that is fun and isnt bloated with 21st century gaming disasters like microcurrency etc  95/10;116.4;1.0;1.0;313.0;14 May, 2022;118
301;ELDEN RING; dying simulator 11/10;104.6;1.0;1.0;73.0;14 May, 2022;22
302;ELDEN RING; Truly a game ahead of its time one of the best dating sims Ive played to date There isnt a lot of love interests to choose from but there is this whole boss fighting system attached to it;95.8;1.0;1.0;25.0;14 May, 2022;194
303;ELDEN RING; MASTERPIECE;57.1;1.0;1.0;100.0;14 May, 2022;12
304;ELDEN RING; Never played dark souls but this is one of the best games ever made;117.8;1.0;1.0;307.0;14 May, 2022;68
305;ELDEN RING; This game is awesome There is just so much to explore and so much to do This is my first Dark Souls game and I really like it;143.9;1.0;1.0;38.0;14 May, 2022;129
306;ELDEN RING; Sekiro was better The late game areas are pain Some things are only exist to cause you pain with no reward This game is a DS 22 with nice grapichs with a huge open world This game is a 5/10 for me ofc Many times the game was a 10/10 for me as well but the late game areas and some bosses and some areas are just pure pain Some bosses are pure fun and have a great learning curve but other times you regret your life decisions;103.5;0.0;3.0;153.0;10 May, 2022;437
308;ELDEN RING; As someone who has been looking forward to this game for a really long time i can say that it easily exceeded the hype around it which nowadays is rarethe difficulty of this game varies by how you go about but ultimately how you play determines the difficulty which is very different from previous souls games which are linear and unless you beat a certain boss you cannot progress;111.0;1.0;1.0;37.0;14 May, 2022;384
309;ELDEN RING; An incredible game overall with some of the best examples of why the Dark Souls games are so beloved by many So many builds so little time with some balance patching needed regarding endgame imo this truly has the potential to be From Softwares best effort yet Whether a returning Souls vet like myself or a newcomer whos never touched an action RPG youll fall in-love with this world and the famous immersion and wonder that come with it Cant recommend it enough;488.8;1.0;1.0;150.0;14 May, 2022;477
310;ELDEN RING; Smithing Stone;9.0;1.0;1.0;2.0;14 May, 2022;15
311;ELDEN RING; i hate this game so much;78.6;0.0;1.0;51.0;14 May, 2022;25
312;ELDEN RING; why not;41.8;1.0;1.0;97.0;14 May, 2022;9
313;ELDEN RING; 10/10;211.9;1.0;2.0;10.0;14 May, 2022;6
314;ELDEN RING; video game good horsey sword roll;54.2;1.0;1.0;44.0;14 May, 2022;37
315;ELDEN RING; Very good;80.5;1.0;1.0;201.0;14 May, 2022;11
316;ELDEN RING; game good;604.4;1.0;1.0;53.0;14 May, 2022;10
317;ELDEN RING; worst game i have ever played especially cause they re used the dragon boss so much;110.6;1.0;1.0;29.0;13 May, 2022;84
318;ELDEN RING; This game sucks Its trash its ass I dont know what this is supposed to be but it is slow and unresponsive it feels unfinished and empty Save your money and hope that Fable 4 can deliver what this game couldnt Pushing a boulder up a hill is not fun The only way to become the elden lord is to break the cycle and stop playing this ass crack garbage;58.4;0.0;1.0;16.0;14 May, 2022;354
319;ELDEN RING; This game is worth the 60$ imo Its a very open world layout with not much in the way of real barriers to block you off from zone to zone and when there is a barrier there is also a way around it The fighting style is basically Dark Souls 3 which is a bonus The game is hard if you try and just play it like a souls game and roll through it all however if you take your time to explore and scavenge this game becomes so easy;377.2;1.0;1.0;225.0;14 May, 2022;432
320;ELDEN RING; game is the tits;156.3;1.0;1.0;4.0;13 May, 2022;17
321;ELDEN RING; Try fingers  but hole;32.2;1.0;1.0;67.0;13 May, 2022;22
322;ELDEN RING; Easily the game of the year;84.4;1.0;1.0;17.0;13 May, 2022;29
323;ELDEN RING; just wow;277.5;1.0;1.0;59.0;13 May, 2022;9
324;ELDEN RING; Easy GOTY hard to decide between this one and Bloodborne being the best souls game theyve ever made;146.1;1.0;1.0;87.0;13 May, 2022;103
325;ELDEN RING; yes yes and yes content in every inch of this masterpiece;46.2;1.0;1.0;68.0;13 May, 2022;58
326;ELDEN RING; my ass open now;34.4;1.0;1.0;51.0;13 May, 2022;17
327;ELDEN RING; im 49 hours in i have no idea what im doing but i think i enjoy this game;49.4;1.0;1.0;93.0;13 May, 2022;74
328;ELDEN RING; Probably hands down the absolute best souls game I have ever played  And Ive played them all to all Achievements and NG+7  Can confirm this is the best one Id suggest not interacting with the community much since everyone thinks they know the best things for everything  play how you want - Enjoy your time in the Lands Between  Only one Complain Which will likely be fixed  Connection Issues  Nothing worse that being in a boss fight in a co-op playthrough with a brother and it says ____ Has return to their world Had this happen on different internet connections along with being on the same one;117.5;1.0;1.0;789.0;13 May, 2022;613
330;ELDEN RING; Too Much Grass;136.9;0.0;1.0;122.0;13 May, 2022;15
332;ELDEN RING; 0/10;50.8;1.0;1.0;8.0;13 May, 2022;5
333;ELDEN RING; i love you;118.5;1.0;1.0;51.0;13 May, 2022;11
334;ELDEN RING; very goood game only issues is some repeat bosses and difficulty spike near the end;117.8;1.0;1.0;291.0;13 May, 2022;85
335;ELDEN RING; Finally a good game D;98.3;1.0;1.0;75.0;12 May, 2022;24
336;ELDEN RING; good game just extremely difficult made me want to cry a couple of times;115.1;1.0;1.0;67.0;12 May, 2022;75
337;ELDEN RING; Elden Ring;133.5;1.0;1.0;60.0;12 May, 2022;11
339;ELDEN RING; Very good It doesnt seem that very often are people with such a true vision allowed to make their art to such a scale as this and it was incredible to experience The amount of wonder and fun that this game gave to my brain reminded me of how much fun games where as a kid Certainly my favorite game to have come out this year and definitely a contender for one of my favorite games ever;158.8;1.0;1.0;112.0;13 May, 2022;391
340;ELDEN RING; Its so easy to get lost in this game and just flow with the story definitely worth investing time into By far my favorite game of the decade;75.4;1.0;1.0;13.0;12 May, 2022;145
341;ELDEN RING; A must have for all Garfield Kart enthusiasts;48.5;1.0;1.0;175.0;12 May, 2022;46
342;ELDEN RING; Absolute banger amazing game as always;47.5;1.0;1.0;58.0;12 May, 2022;41
344;ELDEN RING; Good Everyone who says otherwise is maidenless;78.9;1.0;1.0;76.0;12 May, 2022;49
346;ELDEN RING; My balls itch ;30.9;1.0;1.0;92.0;12 May, 2022;17
347;ELDEN RING; this game could make a person experience PTSD Very nice for new player Recommended;87.3;1.0;1.0;23.0;12 May, 2022;85
348;ELDEN RING; MARIKAS TITS THIS GAME IS AMAZING  This is honestly one of my favourite games of all time Its the only game I went out of my way to get all the achievements for Usually I just dont have the patience to go on achievement hunts but in this game I actually enjoyed doing it because it meant more exploration  If you like soulslike games buy it  If you like exploration buy it  If you like a challenge buy it  Yeah just buy it;177.5;1.0;1.0;292.0;12 May, 2022;445
350;ELDEN RING; good;115.8;1.0;2.0;56.0;12 May, 2022;5
351;ELDEN RING; Great place to start for Souls games if your new like me and perfect for anyone who wants an immersive fantasy adventure Be warned not for the faint of heart;27.9;1.0;1.0;5.0;12 May, 2022;164
352;ELDEN RING; very cool very nice;81.3;1.0;1.0;50.0;12 May, 2022;20
353;ELDEN RING; Just give me a good smack from the rear with something nice and big - IRON FIST ALEXANDER;104.4;1.0;1.0;45.0;12 May, 2022;93
354;ELDEN RING; never touched grass ever since;63.1;1.0;1.0;43.0;12 May, 2022;31
356;ELDEN RING; 10/10;40.7;1.0;1.0;2.0;12 May, 2022;6
357;ELDEN RING; Try finger but hole;11.2;1.0;1.0;173.0;12 May, 2022;21
358;ELDEN RING; fun very easy;41.9;1.0;1.0;2.0;12 May, 2022;15
359;ELDEN RING; Hey Oscar Fire Giant;136.8;1.0;1.0;40.0;12 May, 2022;22
360;ELDEN RING; finger but hole;86.8;1.0;2.0;15.0;12 May, 2022;16
361;ELDEN RING; One of the best games of the last decade;182.3;1.0;1.0;88.0;11 May, 2022;41
362;ELDEN RING; insane best game ive played in years 10/10;60.7;1.0;1.0;63.0;11 May, 2022;44
363;ELDEN RING; Is good;181.5;1.0;1.0;120.0;11 May, 2022;8
364;ELDEN RING; goty;660.6;1.0;1.0;12.0;11 May, 2022;5
365;ELDEN RING; This game is  because im not good at it;87.3;1.0;1.0;4.0;11 May, 2022;45
366;ELDEN RING; Skyrim/WoW on steroids with buckets of atmosphere I love this game Its definitely more ideal to controller users but you can make a working keyboard/mouse bind easy enough to the point it feels like a PC game and not a console port Im pretty much used to playing this with keyboard and mouse now took a few hours to get used to it but its fine My only advice is to just explore everything for yourself avoid anything on Youtube so the game doesnt get ruined Definitely the best game Ive played in a long while;42.7;1.0;1.0;231.0;12 May, 2022;525
369;ELDEN RING; This game was a first to me in the souls genre and i have to say its amazingly hard for a brand new player The controls are not hard to understand but the timings and little things are the trickiest Overall its a fun experience and ive barely made progress in the game so theres a lot more stuff to discover and hate myself for;21.8;1.0;0.0;8.0;11 May, 2022;336
370;ELDEN RING; Made me get up shower and look for maidens IRL but only after 150 hours  10/10 would recommend;168.8;1.0;1.0;287.0;11 May, 2022;101
371;ELDEN RING; First souls game ever for me and couldnt be better;62.3;1.0;1.0;68.0;11 May, 2022;52
372;ELDEN RING; This game is like wearing one of the most comfortable shoes in the world but the shoe has a pebble stuck in it that you cant get out  This is an incredible game full of originality heaps of content and replayability tons of player agency and a really fun gameplay loop However it is plagued by nonsensical design decisions and bugs that impact my experience of the game every single time I play it  Bugs like the cursor not staying locked to the game window causing me to click on stuff on my second monitor and tabbing me out of the game and server issues causing frequent disconnects during coop and design decisions like the incredibly long wait to quit out of the game and popups always automatically hovering on no instead of yes forcing me to move my mouse cursor sometimes mid-combat to select yes severely impact my enjoyment of the game Bringing the game from one of my favourites to something I always find myself getting frustrated at while playing;145.9;1.0;1.0;219.0;11 May, 2022;982
373;ELDEN RING; turtle pope;99.9;1.0;1.0;297.0;11 May, 2022;12
374;ELDEN RING; Excellent game Combines best part of Souls with open world I cant even touch things like Skryim after this GOTY;157.6;1.0;1.0;131.0;11 May, 2022;116
375;ELDEN RING; Easily one of my favorite games of all time;304.7;1.0;1.0;83.0;11 May, 2022;45
376;ELDEN RING; i like it;97.4;1.0;2.0;268.0;11 May, 2022;10
377;ELDEN RING; good game mhm very good yes good game oh yeah its good great game good one good game i like it its fun good game boss game good game good game good roll game> good game good;459.7;1.0;1.0;92.0;11 May, 2022;192
378;ELDEN RING; This game might be hard when you start playing it but it gets better as you learn how to play it By far my favourite rpg game Worth every penny would recommend;64.0;1.0;1.0;26.0;11 May, 2022;161
379;ELDEN RING; I got my ass beat learned lessons through metaphors about not giving up learned to also give up when invaded by naked people with clubs felt empty inside after beating the game because it was always about the journey not the destination and now the journey was over ahh its fine Ill just do it all again on a new character right  Games are rarely designed so well these days Elden Ring is by no means perfect but the overall experience of playing this is second to none It also offers a lot to folks who enjoy their lore in games Cant wait for the inevitable DLC;190.0;1.0;1.0;206.0;11 May, 2022;582
380;ELDEN RING; My first souls game really good;170.1;1.0;1.0;570.0;11 May, 2022;34
381;ELDEN RING; game is mid ranni is hot though 10/10;344.0;1.0;1.0;7.0;11 May, 2022;40
382;ELDEN RING; Its playable;129.3;1.0;1.0;60.0;11 May, 2022;14
383;ELDEN RING; i cummed everywhere so much;120.0;1.0;1.0;27.0;11 May, 2022;28
384;ELDEN RING; i killed a dog with a pizza cutter good game;143.7;1.0;1.0;608.0;11 May, 2022;45
385;ELDEN RING; very elden and very ring indeed;32.7;1.0;1.0;58.0;11 May, 2022;32
386;ELDEN RING; SUPERRRR;139.2;1.0;1.0;21.0;11 May, 2022;9
387;ELDEN RING; Elden Ring so far is my Game of the year I thought I was not going to beat it just for the fact that I am not one who thrives on challenging bosses and certain hoards of enemies Luckily friends help ease the pain When I did beat the bosses it felt super rewarding and satisfying The graphics are great the battle mechanics are pretty solid and I think the open world helps because you can do stuff in any order if you please I also lost my runes quite often mostly falling off cliffs and going through catacombs to retrieve my runes and failing in the processes Once I beat a boss I leveled up immediately I will say that FromSoftware did a fantastic job I definitely recommend Elden Ring to everyone The only warning I have is you may experience emotional breakdowns because of how many times you will die;118.2;1.0;1.0;28.0;10 May, 2022;822
388;ELDEN RING; A lot of trail and error Really fun tho;197.8;1.0;1.0;57.0;10 May, 2022;42
389;ELDEN RING; It is a very good and for the most part fun but it has some major flaws bosses will have very quick attacks that are hard to detect some bosses have attacks that you cant do much about there are many bugs and glitches still in the game and bleed/magic builds are the meta with other builds being to weak or slow to be able to kill bosses efficiently But other than I do really enjoy dedicating my time to the game and plan to play more;112.1;1.0;1.0;14.0;10 May, 2022;443
390;ELDEN RING; very fun game level of difficulty is beyond any other game ive played;6.7;1.0;1.0;42.0;10 May, 2022;71
391;ELDEN RING; i happened to compare the size of the map to my friends as being SEVERAL GTA V maps combined so much to explore learn and change through the game i still havent beaten it and i currently have over 200 hours in the game;220.7;1.0;1.0;76.0;10 May, 2022;219
392;ELDEN RING; after playing for 13 hours i can say this is one of the best games ive ever played and would recommend it to anyone who is planning to buy it;58.7;1.0;1.0;7.0;10 May, 2022;144
393;ELDEN RING; WARING PLAYING THIS GAME MAY BRING YOU MORE FUN THAN YOU CAN HANDLE WHILE ALSO MAKING YOU WANT TO BASH YOUR HEAD INTO A WALL its a great game it can me rly hard sometimes but i also suck at this game so that might be why;9.4;1.0;1.0;8.0;10 May, 2022;224
394;ELDEN RING; Not sure why the monkeys working at fromsoftware thought it was a good idea to let players learn the boss mechanics and dodge it makes the game piss easy;85.4;1.0;1.0;164.0;10 May, 2022;154
395;ELDEN RING; Elden Ring made me happy like Ocarina of Time did back in 1998;316.9;1.0;1.0;389.0;10 May, 2022;63
396;ELDEN RING; One of the best games Ive ever played Cant recommend enough;140.3;1.0;1.0;108.0;10 May, 2022;64
397;ELDEN RING; I thought I wouldnt love it as much as the other games but I was wrong This game is amazing and does a lot of things right from the previous titles My only issue is that there is a jarring comparison to dark souls 2 and the pvp is crowded with afks and high leveled phantom ganking I love co oping and they did a fantastic job of making this game enjoyable for every type of player Keep at it From Soft;410.8;1.0;1.0;279.0;10 May, 2022;411
399;ELDEN RING; One of the most well-crafted and beautiful open worlds Ive ever immersed myself into Despite completing the entire game I still feel an urge to explore and somehow always keep finding new things  10/10 game without a doubt;71.7;1.0;1.0;94.0;10 May, 2022;228
400;ELDEN RING; Just get the damn game already;781.4;1.0;1.0;215.0;10 May, 2022;31
401;ELDEN RING; another masterpiece by Miyazaki this game has one of the most wonderful atmospheres the world is beautiful and design of the bosses is amazing but the game may be difficult for beginners;7.9;1.0;1.0;13.0;10 May, 2022;189
402;ELDEN RING; Pain But the good kind maybe if that is even a thing;110.4;1.0;1.0;89.0;10 May, 2022;59
403;ELDEN RING; Elden;74.3;1.0;1.0;69.0;10 May, 2022;6
404;ELDEN RING; Darksouls+Skyrim;60.1;1.0;1.0;73.0;10 May, 2022;17
405;ELDEN RING; This game is just built different;149.8;1.0;1.0;13.0;10 May, 2022;35
406;ELDEN RING; get game;204.1;1.0;1.0;60.0;10 May, 2022;9
407;ELDEN RING; Honnestly the game need to be rename The Elden Drip i put more hours to look good that fight the final boss;97.1;1.0;1.0;133.0;10 May, 2022;110
408;ELDEN RING; 11/10 would love to get sniped by Lobsters;171.3;1.0;2.0;111.0;10 May, 2022;43
409;ELDEN RING; tf can i say there are no words play the game;46.8;1.0;1.0;75.0;10 May, 2022;48
410;ELDEN RING; Try finger but hole;120.3;1.0;1.0;573.0;10 May, 2022;21
411;ELDEN RING;Buy now you wont regret;55.6;1.0;1.0;19.0;09 May, 2022;24
413;ELDEN RING;Got good beat game 10/10;83.3;1.0;1.0;762.0;09 May, 2022;25
414;ELDEN RING;Ohh you dont have the right Ohh you dont have the right Ohh you dont have the right Ohh you dont have the right;194.7;1.0;0.0;397.0;09 May, 2022;118
415;ELDEN RING;Absolutely love it;147.1;1.0;2.0;5.0;09 May, 2022;18
416;ELDEN RING;Unfortunately Im maidenless;322.5;1.0;1.0;16.0;09 May, 2022;30
417;ELDEN RING;muito bom pode compra zero arrependimentos;111.6;1.0;1.0;178.0;09 May, 2022;42
418;ELDEN RING;After 50h + I can clearly say this is one of the best games I ever played Incredibly hard it will show u painfully every single mistake U make but its also incredibly satisfying Amazing scenery and atmosphere the game have something that keeps U coming back over and over again to try one more time to beat that boss Words cannot describe it if U ever played Souls games its a must but if U never played Souls games before U gotta try it ;57.7;1.0;1.0;683.0;09 May, 2022;450
419;ELDEN RING;After making a second character because I was unhappy with the build on the first one I beat this game in 30 hours Even though it didnt take me long I loved almost every hour There are some issues with performance and balance both with weapons and enemies but they are far outweighed by the good of this game  To beat this game in 30 hours means I missed probably 75% of all of the world - it is huge and beautiful Now on my third character I am exploring more and having just as much if not more fun than I did with my last character To someone who doesnt know what Souls games are they might not like this game It is difficult and unforgiving just like the previous games If you like the previous games this one takes all the strong elements of those and puts it in something so expansive that you might find something new in a playthrough years from now;78.5;1.0;1.0;128.0;09 May, 2022;873
421;Titanfall® 2; IF MULTIPLAYER DOESNT WORK DOWNLOAD THE NORTHSTAR CLIENT;3.9;1.0;6.0;245.0;13 May, 2022;57
422;Titanfall® 2; TF2 and TF2 both chad games;14.1;1.0;4.0;21.0;10 May, 2022;29
424;Titanfall® 2; Uninstalling Apex Legends;3.3;1.0;4.0;466.0;13 May, 2022;26
425;Titanfall® 2; Very nice and strange concept robotics and futuristic environnement;3.2;1.0;3.0;346.0;13 May, 2022;70
426;Titanfall® 2; Great campaign but its short and right now the multiplayer is completely broken and wont open for me and many others all support for this game has been shut down by the developers and hacking raids have made the multiplayer unplayable for most people DO NOT PURCHASE THIS it is not worth the money in its current state I have played this game across multiple platforms and it is borderline unplayable on all of them i repeat DO NOT PURCHASE THIS IN ITS CURRENT STATE hopefully it will be fixed but that is very unlikely unfortunately;6.1;0.0;34.0;26.0;12 May, 2022;541
429;Titanfall® 2; Loved this game at its peak but now its a shell the servers are dead 90% if not 100% of the time not dead as in no player base but dead as in unplayable yeah you can play the amazing single player campaign but after that theres nothing since the majority of the game play in in Titanfall 1 took place online youd expect to play a lot of Titanfall 2 online as well but thanks to either the devs giving up and focusing Apex or hackers a lot of speculation for who killed the game I dont recommend this game anymore its not even worth the $4 USD they are asking for it at this point they are snatching at any money they can make but dont have hope for a third one with their shift towards battle royal I will miss BT and I will miss my minigun titan hot dropping and wiping the other team out;35.8;0.0;6.0;126.0;13 May, 2022;815
430;Titanfall® 2; I am not a FPS fan I dont play FPS games but when I do it has been Valorant recently I would say Titanfall but ever since the DDos of the servers the game is unplayable It is very disheartening to see one of my favorite childhood games and franchises loose to a outside source I love this game the series to death If you are looking to purchase to play multiplayer good luck The server will randomly crash but on other days they work Its very shaky right now and sadly I think that is the best this game can do to recover I dont have many hours on my steam profile But I was easily gen 15 on my Xbox and played this game religiously when it came out Thats about 300-500 hours for those who dont know I love this game to death and I hope to see a sequel Keep it up Apex is a great game as well;29.0;1.0;2.0;146.0;13 May, 2022;809
432;Titanfall® 2; Very immersive and addictive story mode although a little short which left me feeling like I needed more in the end But this also makes the game easily replayable;18.1;1.0;1.0;61.0;13 May, 2022;167
433;Titanfall® 2;better than ape sex;5.2;1.0;5.0;89.0;07 May, 2022;19
434;Titanfall® 2; PLEASE PLAY THIS GAME I BEG YOU;35.3;1.0;2.0;16.0;10 May, 2022;32
435;Titanfall® 2;Like minecraft with robots and a gun;47.6;1.0;1.0;86.0;07 May, 2022;36
437;Titanfall® 2; bery gud fun me likey;6.2;1.0;1.0;20.0;14 May, 2022;22
438;Titanfall® 2; its very good;5.6;1.0;1.0;124.0;13 May, 2022;15
439;Titanfall® 2; I like many others love this game to its core and would play it daily if the community was still alive and not full of hackers Im sure but woe is me for my first desktop has a wifi 6 enabled motherboard with an 11th generation Intel processor which means I cannot connect to the multiplayer servers due to a difference in security technology I still recommend this game if you have a 10th gen or earlier processor but as for myself I weep;0.7;1.0;1.0;158.0;13 May, 2022;449
440;Titanfall® 2; Chicken Sandwich ;42.1;1.0;1.0;38.0;11 May, 2022;20
441;Titanfall® 2; based and apexpilled;24.5;1.0;1.0;113.0;11 May, 2022;21
443;Titanfall® 2;FUN GAME;10.9;1.0;1.0;9.0;08 May, 2022;8
444;Titanfall® 2;obviously;123.2;1.0;1.0;176.0;08 May, 2022;9
445;Titanfall® 2;better than apex;72.8;1.0;1.0;46.0;07 May, 2022;16
446;Titanfall® 2;The official multiplayer is BACK and working as of May 7th 2022 no Northstar Client required Come get it while its hot;160.9;1.0;2.0;115.0;07 May, 2022;123
447;Titanfall® 2;sadly the multiplayer is being attacked but the game still has one of the best fps campaigns ive played;14.7;1.0;1.0;47.0;07 May, 2022;106
448;Titanfall® 2;The single player campaign is gorgeous but only 7 hours long on my first run Clearly intended to be driven by multi-player like plenty of games since which is a bit disappointing Still it was fun and I typically hate jumping puzzle games If youre looking for a pretty quick little Halo + Portal kind of vibe not a bad way to spend a weekend;7.9;1.0;1.0;203.0;08 May, 2022;353
449;Titanfall® 2;I have hundreds of hours on this game on console This game has set the standard for how fun an FPS game can be in both campaign and multiplayer Every FPS I play will be compared to Titanfall 2 The abysmal marketing and release window given to this game by higher-up executives at EA is a tragedy on par with the death of JFK and Im 100% serious;2.8;1.0;1.0;92.0;08 May, 2022;350
451;Titanfall® 2;yup its a game yup;52.9;1.0;2.0;96.0;09 May, 2022;19
452;Titanfall® 2;BT4L <3;13.1;1.0;1.0;178.0;09 May, 2022;7
453;Titanfall® 2; pros good story unlimited fps and runs on source  cons spending real money on a gun;3.9;1.0;1.0;334.0;14 May, 2022;87
454;Titanfall® 2;bread;17.3;1.0;1.0;9.0;08 May, 2022;5
